From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10563;4713;sea;11570;-1;-1;-1;-1;;Dream-island-bridge
3243;11176;impassable;-1;-1;-1;-1;-1;;Goiky-hills
1256;11136;impassable;-1;-1;-1;-1;-1;;Goiky-hills
1256;438;impassable;-1;-1;-1;-1;-1;;Goiky-hills
11116;438;impassable;-1;-1;-1;-1;-1;;Goiky-hills
11259;5580;impassable;-1;-1;-1;-1;-1;;Goiky-hills
927;11094;impassable;-1;-1;-1;-1;-1;;Goiky-hills
927;6332;impassable;-1;-1;-1;-1;-1;;Goiky-hills
6434;6332;impassable;-1;-1;-1;-1;-1;;Goiky-hills
1052;1782;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
578;1782;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
578;11398;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1007;11360;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3942;2035;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2677;2035;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2677;6070;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11322;6070;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11298;1177;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11271;1177;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2653;11266;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2653;11247;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1938;4699;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
5109;4699;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
5109;11228;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
5109;2312;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;2334;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;2312;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3797;2986;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3797;11184;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
5766;11184;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
5766;5080;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
503;5080;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1909;5080;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
-1;-1;-1;-1;-1;-1;-1;-1;-1